"year","perc_burned","region"
2002,0.17443293,"Hawaii"
2003,0.619705982,"Hawaii"
2004,0.112889138,"Hawaii"
2005,1.127308843,"Hawaii"
2006,0.356049693,"Hawaii"
2007,0.936932031,"Hawaii"
2008,0.209202109,"Hawaii"
2009,0.321575857,"Hawaii"
2010,0.480148837,"Hawaii"
2011,0.114942792,"Hawaii"
2012,0.403949456,"Hawaii"
2013,0.113235205,"Hawaii"
2014,0.085420932,"Hawaii"
2015,0.322412256,"Hawaii"
2016,0.544203163,"Hawaii"
2017,0.200455441,"Hawaii"
2018,0.787888596,"Hawaii"
2019,0.558572289,"Hawaii"
2020,0.480746821,"Hawaii"
2021,1.120161258,"Hawaii"
2002,0.88516821529819,"Western US"
2003,0.487131122862708,"Western US"
2004,1.04125574259719,"Western US"
2005,1.09214649910196,"Western US"
2006,0.917507385315597,"Western US"
2007,0.972007497582757,"Western US"
2008,0.436967182357127,"Western US"
2009,0.656948118998505,"Western US"
2010,0.379418979917687,"Western US"
2011,0.595088941657081,"Western US"
2012,1.03624723736136,"Western US"
2013,0.55477216525296,"Western US"
2014,0.404965867716511,"Western US"
2015,1.23589484964467,"Western US"
2016,0.477503327902432,"Western US"
2017,1.01228263678643,"Western US"
2018,0.894140945514329,"Western US"
2019,0.519639921513276,"Western US"
2020,1.22136681355364,"Western US"
2021,0.778877206003339,"Western US"
